area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Aug,Cagayan de Oro,3 BHK,Sungspr,1033,2,2,1761570
Super built-up  Area,18-Mar,Kidapawan,2 BHK,Prtanha,982,2,2,1761570
Super built-up  Area,18-Aug,Malabon,2 BHK,,950,2,1,1769850
Super built-up  Area,Ready To Move,Escalante,2 BHK,,1030,1,2,1776750
Super built-up  Area,18-Mar,Iligan,2 BHK,,992,2,2,1779510
Built-up  Area,Ready To Move,Tagum,1 BHK,Clntsrt,646,1,0,1782960
Super built-up  Area,18-Jul,Koronadal,2 BHK,PuamaPa,1015,2,2,1785720
Super built-up  Area,18-Sep,Tagbilaran,2 BHK,Brngsal,1015,2,2,1785720
Super built-up  Area,18-Aug,Angeles,2 BHK,PrarePa,1015,2,2,1785720
Super built-up  Area,18-Sep,Meycauayan,2 BHK,,1015,2,2,1785720
Super built-up  Area,18-Dec,Palayan,2 BHK,,1015,2,2,1785720
Built-up  Area,Ready To Move,Lapu-Lapu,2 BHK,SSestth,850,2,1,1793310
Super built-up  Area,Ready To Move,Tagaytay,2 BHK,Vancy R,930,2,1,1793310
Super built-up  Area,Ready To Move,Isabela,2 BHK,PrhyaK ,700,1,1,1794000
Super built-up  Area,20-Dec,La Carlota,1 BHK,Miwel M,525,1,1,1794000
Built-up  Area,Ready To Move,Ilagan,1 BHK,SrEndPo,375,2,0,1794000
Super built-up  Area,21-Dec,Davao City,1 BHK,Puens G,525,1,1,1794000
Super built-up  Area,Ready To Move,Candon,2 BHK,SagasSa,550,2,1,1794000
Super built-up  Area,Ready To Move,Baguio,1 BHK,SNbay G,650,1,1,1794000
Super built-up  Area,Ready To Move,Guihulngan,1 BHK,,360,1,1,1794000
Built-up  Area,Ready To Move,Valencia,1 BHK,,527,1,0,1794000
Plot  Area,Ready To Move,Cebu City,1 Bedroom,,812,1,0,1794000
Super built-up  Area,22-Dec,Cavite City,1 BHK,Soianal,525,1,1,1794000
Super built-up  Area,Ready To Move,Bayugan,2 BHK,Vrenty ,908,2,1,1794000
Plot  Area,Ready To Move,General Santos,1 Bedroom,AriosHe,812,1,1,1794000
Super built-up  Area,20-Dec,Taguig,2 BHK,,818,2,1,1794000
Super built-up  Area,18-May,Batangas,1 BHK,,602,1,1,1794000
Built-up  Area,Ready To Move,Mandaluyong,1 BHK,,635,1,0,1794000
Super built-up  Area,Ready To Move,Kabankalan,2 BHK,SLureSi,920,2,2,1794000
Built-up  Area,Ready To Move,Bislig,1 Bedroom,Siissi ,375,1,0,1794000
Super built-up  Area,21-Dec,El Salvador,1 BHK,,525,1,1,1794000
Plot  Area,Ready To Move,Santa Rosa,1 Bedroom,Mangsr ,812,1,1,1794000
Super built-up  Area,Ready To Move,Tanjay,2 BHK,HovasTe,830,2,2,1794000
Super built-up  Area,20-Aug,Ligao,1 BHK,Exncene,475,1,1,1794000
Super built-up  Area,Ready To Move,Olongapo,2 BHK,Prersis,891,2,1,1794000
Super built-up  Area,21-Dec,Bayawan,1 BHK,Shyas S,525,1,1,1794000
Plot  Area,18-Jan,Pasig,1 Bedroom,NadelCi,812,1,0,1794000
Super built-up  Area,21-Jan,San Pedro,1 BHK,Sothadr,525,1,1,1794690
Super built-up  Area,21-Dec,Tarlac City,1 BHK,Dhalsh ,525,1,1,1811250
Super built-up  Area,Ready To Move,Tacurong,2 BHK,Puarent,1140,2,2,1827810
Super built-up  Area,18-Oct,Bogo,2 BHK,MaionPa,1060,2,1,1828500
Super built-up  Area,Ready To Move,Naga,2 BHK,Maian M,911,2,1,1828500
Super built-up  Area,18-Jul,Calapan,2 BHK,ShstaAl,1025,1,1,1837470
Built-up  Area,18-Jul,Balanga,2 BHK,Shard T,1025,2,1,1838850
Plot  Area,Immediate Possession,San Fernando,,SoitaCa,2324,,,1844370
Super built-up  Area,18-May,Butuan,2 BHK,Neagar ,1074,2,2,1852650
Super built-up  Area,Ready To Move,Makati,1 BHK,,583,1,1,1856100
Super built-up  Area,18-Apr,Panabo,1 BHK,Dhalsh ,658,1,0,1856790
Super built-up  Area,18-Apr,Silay,1 BHK,,658,1,1,1856790
Super built-up  Area,Ready To Move,San Carlos,1 BHK,Wiowsri,589,1,1,1863000
Super built-up  Area,18-Dec,Danao,2 BHK,,850,2,2,1863000
Built-up  Area,Ready To Move,Trece Martires,2 BHK,,900,2,0,1863000
Built-up  Area,Ready To Move,Alaminos,1 BHK,Saityat,710,1,1,1863000
Built-up  Area,Ready To Move,Tandag,2 BHK,Eladero,700,2,0,1863000
Super built-up  Area,Ready To Move,Bacolod,2 BHK,Lancyey,1201,2,2,1863000
Built-up  Area,Ready To Move,Catbalogan,2 BHK,Suiseit,840,2,2,1863000
Super built-up  Area,Ready To Move,Legazpi,2 BHK,Aroomba,545,1,1,1863000
Super built-up  Area,Ready To Move,Gingoog,2 BHK,Courf T,970,2,2,1863000
Super built-up  Area,19-Dec,Sorsogon City,2 BHK,VMowsea,900,2,1,1863000
Built-up  Area,Ready To Move,Tabuk,2 BHK,S onsMa,630,1,1,1863000
Built-up  Area,Ready To Move,Vigan,2 BHK,Tuentpa,600,2,2,1863000
Built-up  Area,Ready To Move,Roxas,1 BHK,,620,1,1,1863000
Built-up  Area,Ready To Move,Lamitan,1 BHK,Tovesee,580,1,1,1863000
Super built-up  Area,Ready To Move,Gapan,2 BHK,Vailsaf,660,2,0,1863000
Super built-up  Area,18-Apr,Lucena,1 BHK,BrlisCo,525,,,1863000
Super built-up  Area,18-Dec,Dumaguete,2 BHK,Haestt ,920,2,1,1863000
Super built-up  Area,18-Dec,Passi,2 BHK,,900,2,1,1863000
Built-up  Area,Ready To Move,Samal,2 BHK,,550,1,1,1863000
Super built-up  Area,Ready To Move,Calbayog,2 BHK,BriumMi,1017,2,2,1863000
Super built-up  Area,21-Dec,Calamba,1 BHK,,525,1,1,1863000
Super built-up  Area,Ready To Move,Ozamiz,1 BHK,,655,1,2,1863000
Plot  Area,Ready To Move,Tuguegarao,1 Bedroom,PhestOn,672,1,1,1863000
Super built-up  Area,Ready To Move,General Trias,2 BHK,,750,2,1,1863000
Built-up  Area,Ready To Move,Navotas,2 BHK,,600,1,0,1863000
Super built-up  Area,Ready To Move,Mandaue,2 BHK,,890,2,1,1863000
Super built-up  Area,Ready To Move,Talisay,2 BHK,Hoxiaa ,870,2,1,1863000
Built-up  Area,Ready To Move,San Carlos,1 RK,VBvenal,550,1,1,1863000
Super built-up  Area,18-Dec,Maasin,2 BHK,,900,2,1,1863000
Built-up  Area,Ready To Move,Pasay,1 BHK,JRrnauv,675,1,1,1863000
Super built-up  Area,Ready To Move,San Jose del Monte,1 BHK,Hoeatan,625,1,1,1863000
Super built-up  Area,Ready To Move,Cabanatuan,2 BHK,Asity S,850,2,1,1863000
Super built-up  Area,18-Dec,Tayabas,2 BHK,,900,2,1,1863000
Super built-up  Area,21-Dec,Lipa,1 BHK,,525,,,1863000
Super built-up  Area,Ready To Move,Tacloban,1 BHK,,747,1,2,1863000
Super built-up  Area,Ready To Move,Marawi,2 BHK,,900,2,2,1863000
Super built-up  Area,Ready To Move,Bais,2 BHK,PrityTr,1090,2,1,1879560
Super built-up  Area,21-Dec,Cabuyao,1 BHK,DSoodil,525,1,1,1880250
Super built-up  Area,Ready To Move,Bacoor,1 BHK,SJarkte,664 - 722,1,0,1888875
Super built-up  Area,18-Jul,Cotabato City,2 BHK,Dhgraas,1020,2,1,1892670
Super built-up  Area,21-Dec,San Juan,1 BHK,,525,1,1,1897500
Super built-up  Area,18-May,Talisay,1 BHK,HiqueMa,580,1,1,1897500
Super built-up  Area,20-Aug,Sipalay,2 BHK,Srshq T,918,2,1,1900260
Super built-up  Area,19-Dec,Santiago,1 BHK,SPontna,610 - 615,1,0,1901985
Built-up  Area,Ready To Move,Carcar,2 BHK,Prionad,1105,2,2,1904400
Super built-up  Area,18-Aug,Quezon City,2 BHK,PuendWe,1025,2,2,1909920
Super built-up  Area,19-Dec,Canlaon,2 BHK,Danna S,1025,2,2,1909920
Super built-up  Area,18-Aug,Dapitan,2 BHK,,1025,2,2,1909920
Super built-up  Area,18-Apr,Santo Tomas,2 BHK,GrrvaGr,900,2,2,1930620
Super built-up  Area,Ready To Move,Dipolog,1 RK,,445,1,0,1932000
Super built-up  Area,Ready To Move,Muntinlupa,2 BHK,Bltonin,823,2,1,1932000
Plot  Area,Ready To Move,San Fernando,1 Bedroom,MSanaer,1200,1,1,1932000
Built-up  Area,Ready To Move,Imus,2 Bedroom,Plowsri,650,2,0,1932000
Built-up  Area,Ready To Move,Ormoc,2 BHK,Tavenew,800,2,2,1932000
Built-up  Area,Ready To Move,Urdaneta,1 BHK,,600,1,1,1932000
Super built-up  Area,Ready To Move,Dagupan,2 BHK,,850,2,3,1932000
Built-up  Area,Ready To Move,Puerto Princesa,1 BHK,Ocavees,714,1,1,1932000
Super built-up  Area,20-Aug,Caloocan,1 RK,Brnia G,440,1,0,1932000
Super built-up  Area,Ready To Move,Digos,2 BHK,,1090,2,2,1932000
Super built-up  Area,Ready To Move,Bago,2 BHK,SoystAm,1150,2,0,1932000
Super built-up  Area,20-Aug,Borongan,1 BHK,Prlla C,440,1,1,1932000
Built-up  Area,Ready To Move,Mati,2 BHK,SMaxyay,919,2,0,1932000
Built-up  Area,Ready To Move,Tanauan,2 BHK,Prarkun,1083,2,2,1932000
Super built-up  Area,Ready To Move,Iloilo City,2 BHK,SosicCl,766,2,2,1932000
Carpet  Area,20-Dec,Cabadbaran,1 BHK,,381,1,0,1932000
Super built-up  Area,Ready To Move,Pagadian,2 BHK,GrrvaGr,750,2,1,1932000
Super built-up  Area,18-Jan,Sagay,2 BHK,Bancyri,840,2,1,1932000
Built-up  Area,Ready To Move,Toledo,1 BHK,PualeSk,635,1,1,1932000
Carpet  Area,20-Dec,Baybay,1 BHK,,381,1,1,1932000
Super built-up  Area,Ready To Move,Marikina,2 BHK,ElavuHo,635,1,1,1932000
Super built-up  Area,Ready To Move,Antipolo,1 BHK,Gontyol,635,1,0,1932000
Super built-up  Area,Ready To Move,Manila,2 BHK,SunceEs,1100,2,1,1932000
Super built-up  Area,Ready To Move,Himamaylan,2 BHK,DSutyng,1000,2,3,1932000
Built-up  Area,Ready To Move,Iriga,2 BHK,,1300,2,2,1932000
Super built-up  Area,19-Dec,Masbate,1 BHK,Bancyri,610,1,0,1932000
Super built-up  Area,Ready To Move,Valenzuela,2 BHK,SrEndPo,614,1,1,1932000
Super built-up  Area,Ready To Move,Cauayan,1 BHK,Sryalan,720,1,2,1932000
Built-up  Area,Ready To Move,Tangub,2 BHK,RKntsrt,545,1,1,1932000
Super built-up  Area,Ready To Move,Surigao,3 BHK,,1095,2,2,1932000
Super built-up  Area,Ready To Move,Zamboanga City,2 BHK,,929 - 1078,2,0,1938555
Super built-up  Area,18-Apr,Oroquieta,2 BHK,Vantspa,1125,2,1,1940970
Super built-up  Area,18-Aug,Mabalacat,2 BHK,Mahosya,1126,2,1,1942350
Super built-up  Area,18-Mar,San Pablo,2 BHK,,1105,2,2,1944420
Super built-up  Area,19-Jul,San Jose,2 BHK,,870 - 1080,2,0,1950975
Carpet  Area,19-Jun,Batac,1 BHK,,527 - 639,1,0,1950975
Super built-up  Area,19-Mar,Malolos,1 BHK,,615,1,1,1952010
Super built-up  Area,Ready To Move,Naga,1 BHK,Prowsi ,708,1,0,1954080
Built-up  Area,18-Jul,Laoag,2 BHK,,1090,2,1,1955460
Super built-up  Area,18-May,Cadiz,1 BHK,SMuilan,630,1,1,1956150
Super built-up  Area,19-Aug,Victorias,2 BHK,Proodt ,1033,2,2,1960290
Super built-up  Area,19-Aug,Tabaco,3 BHK,,1033,2,2,1960290
Super built-up  Area,20-Dec,Malaybalay,2 BHK,Sryamar,876,2,2,1964430
Super built-up  Area,18-Jul,Cagayan de Oro,2 BHK,,1140,2,2,1966500
Super built-up  Area,Ready To Move,Kidapawan,2 BHK,,1065,2,2,1966500
Plot  Area,Immediate Possession,Malabon,,Prldsri,800 - 2660,,,1969605
Super built-up  Area,18-May,Escalante,1 BHK,LiaveEn,655 - 742,1,0,1971330
Super built-up  Area,18-Dec,Iligan,2 BHK,,1025,2,1,1971330
Super built-up  Area,21-Dec,Tagum,1 BHK,,660 - 670,,,1972365
Plot  Area,Immediate Possession,Koronadal,,Bemesrm,1200 - 2400,,,1986165
Super built-up  Area,18-Dec,Tagbilaran,2 BHK,,1000,2,1,1992720
Super built-up  Area,18-Aug,Angeles,2 BHK,,1000,2,1,1992720
Built-up  Area,18-Aug,Meycauayan,2 BHK,,1000,2,1,1992720
Super built-up  Area,18-May,Palayan,2 BHK,,1000,2,1,1992720
Super built-up  Area,18-Aug,Lapu-Lapu,2 BHK,Vrensn ,1000,2,1,1992720
Built-up  Area,18-Dec,Tagaytay,2 BHK,VDdonel,1000,2,1,1992720
Built-up  Area,18-Aug,Isabela,2 BHK,Brica E,1000,2,1,1992720
Built-up  Area,18-Aug,La Carlota,2 BHK,,1000,2,1,1992720
Super built-up  Area,19-Apr,Ilagan,2 BHK,GoAirej,860,2,1,1996170
Super built-up  Area,Ready To Move,Davao City,2 BHK,Prenty ,883,2,1,2001000
Super built-up  Area,Ready To Move,Candon,2 BHK,Prarkun,880,2,2,2001000
Super built-up  Area,Ready To Move,Baguio,2 BHK,Shinei ,674,2,1,2001000
Super built-up  Area,Ready To Move,Guihulngan,1 BHK,Apows M,605,1,1,2001000
Super built-up  Area,Ready To Move,Valencia,2 BHK,,845,2,1,2001000
Super built-up  Area,18-Aug,Cebu City,3 BHK,Prityel,1149,2,2,2001000
Super built-up  Area,Ready To Move,Cavite City,1 BHK,SVineun,715,1,2,2001000
Super built-up  Area,Ready To Move,Bayugan,3 BHK,,1250,3,2,2001000
Super built-up  Area,Ready To Move,General Santos,2 BHK,Soiewre,700,2,1,2001000
Super built-up  Area,Ready To Move,Taguig,1 BHK,,662,1,1,2001000
Plot  Area,Ready To Move,Batangas,1 Bedroom,Caycend,520,2,0,2001000
Built-up  Area,Ready To Move,Mandaluyong,2 BHK,,545,1,1,2001000
Super built-up  Area,Ready To Move,Kabankalan,2 BHK,,877,2,1,2001000
Super built-up  Area,Ready To Move,Bislig,2 BHK,,800,1,1,2001000
Super built-up  Area,Ready To Move,El Salvador,2 BHK,DSvvyx ,1205,2,2,2001000
Built-up  Area,Ready To Move,Santa Rosa,3 BHK,Prrtht ,715,2,1,2001000
Super built-up  Area,19-Dec,Tanjay,1 BHK,Brareio,524,1,1,2001000
Super built-up  Area,Ready To Move,Ligao,1 BHK,,581,1,1,2001000
Super built-up  Area,Ready To Move,Olongapo,1 BHK,,589,1,1,2001000
Super built-up  Area,Ready To Move,Bayawan,2 BHK,Prlla C,1200,2,2,2001000
Super built-up  Area,Ready To Move,Pasig,2 BHK,,1000,2,1,2001000
Built-up  Area,18-Aug,San Pedro,2 BHK,,1125,2,1,2018250
Super built-up  Area,21-Dec,Tarlac City,1 BHK,,525,,,2018250
Super built-up  Area,Ready To Move,Tacurong,2 BHK,SNnia E,1174,2,1,2025150
Super built-up  Area,Ready To Move,Bogo,2 BHK,,1175,2,1,2027220
Super built-up  Area,Ready To Move,Naga,1 BHK,,530,1,1,2031360
Built-up  Area,18-Jul,Calapan,2 BHK,,1020,2,1,2032050
Built-up  Area,18-Dec,Balanga,2 BHK,,1020,2,1,2032050
Built-up  Area,18-Aug,San Fernando,2 BHK,OlarkLa,1020,2,1,2032050
Built-up  Area,18-Aug,Butuan,2 BHK,Prarkun,1020,2,1,2032050
Built-up  Area,18-Dec,Makati,2 BHK,SuMTBPr,1020,2,1,2032050
Built-up  Area,18-Dec,Panabo,2 BHK,Lecco C,1020,2,1,2032740
Super built-up  Area,18-May,Silay,2 BHK,Jahidva,1020,2,2,2032740
Super built-up  Area,Ready To Move,San Carlos,2 BHK,,921,2,1,2033430
Super built-up  Area,18-Sep,Danao,2 BHK,,921,2,2,2033430
Super built-up  Area,Ready To Move,Trece Martires,2 BHK,,1010,2,1,2035500
Plot  Area,19-Mar,Alaminos,2 Bedroom,PuoodSk,30Acres,2,2,2035500
Super built-up  Area,Ready To Move,Tandag,2 BHK,ViistLa,876,2,2,2035500
Super built-up  Area,Ready To Move,Bacolod,1 BHK,Arano M,800,1,1,2035500
Carpet  Area,Ready To Move,Catbalogan,2 BHK,Amngsag,775,2,2,2035500
Plot  Area,19-Mar,Legazpi,2 Bedroom,SNity S,600,2,2,2035500
Built-up  Area,18-Dec,Gingoog,2 BHK,Kacesh ,1025,2,1,2042400
Built-up  Area,18-Dec,Sorsogon City,2 BHK,,1025,2,1,2042400
Built-up  Area,18-Aug,Tabuk,2 BHK,SrisePo,1025,2,1,2042400
Built-up  Area,18-Dec,Vigan,2 BHK,Bilya A,1025,2,1,2043090
Super built-up  Area,18-Apr,Roxas,2 BHK,Amsomun,1000,2,1,2049300
Super built-up  Area,18-Apr,Lamitan,2 BHK,,1000,2,1,2049300
Super built-up  Area,18-May,Gapan,1 BHK,Shdhia ,451,1,0,2063100
Super built-up  Area,18-Jul,Lucena,2 BHK,,1000,2,2,2063100
Super built-up  Area,18-Dec,Dumaguete,2 BHK,Foconna,1000,2,1,2066550
Super built-up  Area,18-Apr,Passi,2 BHK,Prarkun,1000,2,1,2066550
Super built-up  Area,19-Dec,Samal,3 BHK,,1110,2,2,2067930
Super built-up  Area,19-Jan,Calbayog,3 BHK,,1110,2,2,2067930
Super built-up  Area,Ready To Move,Calamba,2 BHK,,1117,2,3,2069310
Super built-up  Area,Ready To Move,Ozamiz,2 BHK,,850,2,1,2070000
Super built-up  Area,Ready To Move,Tuguegarao,2 BHK,Aincy R,820,2,1,2070000
Super built-up  Area,21-Oct,General Trias,1 BHK,Shxorm ,525,1,1,2070000
Super built-up  Area,Ready To Move,Navotas,1 BHK,Brium C,930,1,1,2070000
Carpet  Area,Ready To Move,Mandaue,1 BHK,Sadhii ,15,1,0,2070000
Super built-up  Area,22-Mar,Talisay,1 BHK,Sahanra,551,1,1,2070000
Plot  Area,Ready To Move,San Carlos,1 Bedroom,,540,1,0,2070000
Built-up  Area,Ready To Move,Maasin,2 BHK,,882,2,1,2070000
Super built-up  Area,Ready To Move,Pasay,1 BHK,,765,2,2,2070000
Built-up  Area,Ready To Move,San Jose del Monte,2 BHK,,877,2,2,2070000
Super built-up  Area,18-Nov,Cabanatuan,2 BHK,PrarePa,1000,2,1,2070000
Plot  Area,Ready To Move,Tayabas,3 Bedroom,Jae 2hu,600,2,0,2070000
Built-up  Area,Ready To Move,Lipa,2 BHK,,904,2,1,2070000
Built-up  Area,Ready To Move,Tacloban,1 BHK,Icncy R,900,1,1,2070000
Super built-up  Area,Ready To Move,Marawi,2 BHK,Hiatei ,1000,2,2,2070000
Super built-up  Area,21-Jan,Bais,1 BHK,,525,1,1,2070000
Super built-up  Area,Ready To Move,Cabuyao,1 BHK,Puarero,650,1,0,2070000
Super built-up  Area,18-Aug,Bacoor,2 BHK,DSoodil,1118,2,0,2070000
Super built-up  Area,21-Jan,Cotabato City,1 BHK,GaicaVe,525,1,1,2070000
Super built-up  Area,Ready To Move,San Juan,2 BHK,,800,2,2,2070000
Super built-up  Area,Ready To Move,Talisay,2 BHK,PuineSu,1000,2,2,2070000
Built-up  Area,Ready To Move,Sipalay,2 BHK,Grare S,1500,2,2,2070000
Super built-up  Area,Ready To Move,Santiago,2 BHK,,1075,2,2,2070000
Super built-up  Area,Ready To Move,Carcar,2 BHK,PrOakSi,900,2,0,2070000
Built-up  Area,Ready To Move,Quezon City,1 BHK,Supleon,600,1,1,2070000
Super built-up  Area,Ready To Move,Canlaon,2 BHK,Prlla C,1001,2,2,2070000
Plot  Area,Ready To Move,Dapitan,1 Bedroom,LGestbo,750,1,1,2070000
Super built-up  Area,21-Dec,Santo Tomas,1 BHK,,525,1,1,2070000
Super built-up  Area,Ready To Move,Dipolog,2 BHK,Pridsi ,725,2,1,2070000
Built-up  Area,Ready To Move,Muntinlupa,1 Bedroom,Aahts H,627,1,1,2070000
Super built-up  Area,Ready To Move,San Fernando,2 BHK,,800,2,2,2070000
Plot  Area,Ready To Move,Imus,2 Bedroom,,600,2,0,2070000
Super built-up  Area,18-Dec,Ormoc,2 BHK,Asiss B,937,2,1,2070000
Super built-up  Area,Ready To Move,Urdaneta,2 BHK,,800,1,1,2070000
Super built-up  Area,18-Jul,Dagupan,1 BHK,,500,1,1,2070000
Built-up  Area,Ready To Move,Puerto Princesa,2 BHK,Kolisl ,925,2,2,2070000
Built-up  Area,Ready To Move,Caloocan,2 BHK,Toindls,845,2,1,2070000
Built-up  Area,Ready To Move,Digos,2 BHK,Puceswn,820,2,2,2070000
Super built-up  Area,18-Jul,Bago,2 BHK,,1200,2,2,2070000
Super built-up  Area,Ready To Move,Borongan,2 BHK,i1odsne,770,2,2,2070000
Carpet  Area,Ready To Move,Mati,2 BHK,Ansna K,1057,2,2,2070000
Super built-up  Area,22-Jan,Tanauan,1 BHK,ARnamru,551,1,1,2070000
Plot  Area,Ready To Move,Iloilo City,1 Bedroom,Veyalin,450,1,0,2070000
Super built-up  Area,Ready To Move,Cabadbaran,1 BHK,,660,1,0,2070000
Super built-up  Area,Ready To Move,Pagadian,2 BHK,SomonCi,986,2,1,2070000
Built-up  Area,Ready To Move,Sagay,2 BHK,,800,1,2,2070000
Super built-up  Area,Ready To Move,Toledo,2 BHK,,842,2,2,2070000
Super built-up  Area,18-Apr,Baybay,2 BHK,,1105,2,2,2070000
Super built-up  Area,21-Dec,Marikina,1 BHK,,525,1,1,2070000
Super built-up  Area,Ready To Move,Antipolo,2 BHK,Daill S,1100,2,2,2070000
Built-up  Area,Ready To Move,Manila,2 BHK,DSureSi,950,2,0,2070000
Super built-up  Area,18-Jan,Himamaylan,1 BHK,Soini T,602,2,1,2070000
Super built-up  Area,Ready To Move,Iriga,2 BHK,MancyRe,825,2,1,2070000
Super built-up  Area,21-Jun,Masbate,1 BHK,Prasa W,596 - 804,1,0,2076210
Super built-up  Area,Ready To Move,Valenzuela,1 BHK,,755,1,0,2078280
Super built-up  Area,19-Apr,Cauayan,2 BHK,Kaantth,896,2,1,2078970
Super built-up  Area,19-Dec,Tangub,2 BHK,,1076,2,1,2078970
Super built-up  Area,18-Jun,Surigao,3 BHK,,1100 - 1225,,,2084835
Super built-up  Area,18-Jul,Zamboanga City,3 BHK,,1185,2,2,2085180
Super built-up  Area,18-Jul,Oroquieta,3 BHK,Drente ,1185,2,2,2085180
Super built-up  Area,18-Dec,Mabalacat,1 BHK,GrrvaGr,605,1,1,2086560
Super built-up  Area,18-Aug,San Pablo,2 BHK,Prityel,1081,2,1,2088630
Super built-up  Area,19-May,San Jose,2 BHK,,1009,2,1,2088630
Super built-up  Area,18-Apr,Batac,2 BHK,,1020,2,1,2088630
Built-up  Area,18-Jul,Malolos,2 BHK,,1165,2,1,2090010
Super built-up  Area,18-May,Naga,3 BHK,,1190,2,2,2094150
Super built-up  Area,18-Aug,Laoag,3 BHK,,1190,2,2,2094150
Super built-up  Area,Ready To Move,Cadiz,2 BHK,,1124,2,1,2094150
Super built-up  Area,18-Sep,Victorias,3 BHK,,1190,2,2,2094150
Super built-up  Area,Ready To Move,Tabaco,2 BHK,SGandea,1085,2,2,2096220
Super built-up  Area,18-Sep,Malaybalay,2 BHK,,951,2,2,2099670
Super built-up  Area,19-Dec,Cagayan de Oro,2 BHK,,1088,2,1,2101740
Super built-up  Area,19-Dec,Kidapawan,3 BHK,,1033,2,2,2102430
Super built-up  Area,19-Nov,Malabon,3 BHK,Mahosya,1033,2,2,2102430
Carpet  Area,Ready To Move,Escalante,2 BHK,Eline P,910,2,1,2104500
Super built-up  Area,18-Jul,Iligan,2 BHK,,1020,2,1,2111400
Super built-up  Area,Ready To Move,Tagum,1 BHK,GoityEt,605 - 624,1,0,2119335
Super built-up  Area,18-May,Koronadal,2 BHK,SosonGa,1065,2,1,2121750
Built-up  Area,18-Dec,Tagbilaran,2 BHK,Gotis A,1065,2,1,2121750
Built-up  Area,18-Dec,Angeles,2 BHK,,1065,2,1,2121750
Built-up  Area,18-Dec,Meycauayan,2 BHK,,1065,2,1,2121750
Built-up  Area,18-Aug,Palayan,2 BHK,PrntaEn,1065,2,1,2121750
Built-up  Area,18-Dec,Lapu-Lapu,2 BHK,NSezeBr,1065,2,1,2122440
Built-up  Area,18-Dec,Tagaytay,2 BHK,,1065,2,1,2122440
Super built-up  Area,Ready To Move,Isabela,1 BHK,Tahtsla,700,1,1,2127960
Super built-up  Area,Ready To Move,La Carlota,1 BHK,Sronda ,694,1,0,2127960
Super built-up  Area,Ready To Move,Ilagan,1 BHK,Prntsax,700,1,1,2127960
Built-up  Area,18-Aug,Davao City,2 BHK,PueraRi,1065,2,1,2130720
Built-up  Area,Ready To Move,Candon,2 BHK,Prrtht ,950,2,3,2139000
Super built-up  Area,18-Nov,Baguio,2 BHK,Chnts A,726,2,1,2139000
Built-up  Area,Ready To Move,Guihulngan,2 BHK,,787,2,1,2139000
Super built-up  Area,18-Jul,Valencia,1 BHK,,500,1,1,2139000
Super built-up  Area,Ready To Move,Cebu City,2 BHK,GaityEt,1600,2,1,2139000
Super built-up  Area,Ready To Move,Cavite City,3 BHK,,1075,2,1,2139000
Super built-up  Area,Ready To Move,Bayugan,2 BHK,,780,2,1,2139000
Super built-up  Area,Ready To Move,General Santos,2 BHK,,1000,2,1,2139000
Super built-up  Area,Ready To Move,Taguig,3 BHK,ShshaSa,1075,2,1,2139000
Built-up  Area,Ready To Move,Batangas,2 BHK,,860,1,2,2139000
Super built-up  Area,Ready To Move,Mandaluyong,2 BHK,,986,2,1,2139000
Super built-up  Area,19-Dec,Kabankalan,2 BHK,,1035,2,1,2142450
Super built-up  Area,19-Dec,Bislig,1 BHK,,691,1,1,2145900
Plot  Area,Immediate Possession,El Salvador,,,1575,,,2146590
Super built-up  Area,Ready To Move,Santa Rosa,2 BHK,Taonte ,708,2,1,2149350
Super built-up  Area,Ready To Move,Tanjay,1 BHK,Ahownve,700,1,1,2152800
Super built-up  Area,21-Jun,Ligao,1 BHK,Cevely ,596 - 861,1,0,2160735
Super built-up  Area,18-Sep,Olongapo,3 BHK,,1230,2,2,2164530
Super built-up  Area,18-Sep,Bayawan,3 BHK,,1230,2,2,2164530
Super built-up  Area,18-Sep,Pasig,3 BHK,PrarePa,1230,2,2,2164530
Built-up  Area,18-Aug,San Pedro,2 BHK,Vaodspe,1090,2,2,2172120
Built-up  Area,18-Dec,Tarlac City,2 BHK,SNnia E,1090,2,1,2172120
Built-up  Area,18-Jul,Tacurong,2 BHK,DSldsen,1090,2,1,2172120
Built-up  Area,18-Dec,Bogo,2 BHK,,1090,2,1,2172120
Built-up  Area,18-Jul,Naga,2 BHK,NaonySy,1090,2,1,2172120
Built-up  Area,18-Dec,Calapan,1 BHK,,1090,2,1,2172120
Built-up  Area,18-Dec,Balanga,2 BHK,Rarthne,1090,2,1,2172810
Super built-up  Area,Ready To Move,San Fernando,2 BHK,Pyikad ,1100,2,2,2173500
Built-up  Area,Ready To Move,Butuan,2 BHK,,990,2,1,2173500
Super built-up  Area,19-Dec,Makati,3 BHK,Prityel,1033,2,2,2173500
Super built-up  Area,19-Dec,Panabo,3 BHK,Soitya ,1033,2,2,2173500
Built-up  Area,Ready To Move,Silay,2 BHK,Malex C,1065,2,3,2173500
Super built-up  Area,19-Dec,San Carlos,2 BHK,GrrvaGr,858,2,1,2178330
Plot  Area,Ready To Move,Danao,1 Bedroom,,461.82,1,1,2187300
Super built-up  Area,18-Aug,Trece Martires,1 BHK,Pehtsa ,648,1,1,2190750
Super built-up  Area,Ready To Move,Alaminos,2 BHK,,1073,2,2,2192130
Super built-up  Area,19-Dec,Tandag,1 BHK,,595,1,1,2196270
